Player Name,Team,Pos,Games,G,A,Pts,PIM,SOG,Hits,BS
Christian Fischer,ARI,RW,71,11,7,18,27,116,124,19
Haydn Fleury,CAR,D,20,0,1,1,2,17,25,21
Warren Foegele,CAR,LW,77,10,5,15,20,106,126,19
Steven Fogarty,NYR,C,10,0,0,0,0,9,6,3
Marcus Foligno,MIN,LW,82,7,12,19,55,91,206,43
Nick Foligno,CLS,LW,73,17,18,35,44,141,175,51
Christian Folin,MON,D,45,0,6,6,27,47,125,78
Derek Forbort,LA,D,81,2,12,14,52,75,105,139
Alex Formenton,OTT,LW,9,1,0,1,6,16,11,7
Jakob Forsbacka-Karlsson,BOS,C,28,3,6,9,2,21,14,9
Filip Forsberg,NSH,RW,64,28,22,50,26,217,100,29
Gustav Forsling,CAR,D,43,3,6,9,30,57,38,38
Alexandre Fortin,CHI,C,24,3,3,6,2,29,21,7
Cam Fowler,ANH,D,59,5,18,23,20,88,32,91
Trent Frederic,BOS,C,15,0,0,0,15,19,18,3
Mark Friedman,PHI,D,1,0,0,0,0,1,1,0
Tanner Fritz,NYI,LW,8,0,1,1,2,6,18,6
Martin Frk,LA,RW,30,1,5,6,4,28,35,4
Michael Frolik,CGY,LW,65,16,18,34,26,132,57,22
Kurtis Gabriel,PHI,RW,22,2,2,4,59,7,78,8
Sam Gagner,EDM,C,32,6,7,13,14,68,21,7
Alex Galchenyuk,PIT,RW,72,19,22,41,34,159,62,34
Brendan Gallagher,MON,RW,82,33,19,52,49,302,126,31
Joseph Gambardella,EDM,C,15,0,3,3,2,7,14,5
Dylan Gambrell,SJ,C,8,0,0,0,2,6,13,1
Jake Gardiner,CAR,D,62,3,27,30,26,78,61,64
Conor Garland,ARI,RW,47,13,5,18,12,118,33,17
Jason Garrison,FA,D,17,1,0,1,8,16,13,23
Adam Gaudette,VAN,C,56,5,7,12,18,55,48,15
Frederick Gaudreau,NSH,C,55,3,1,4,2,43,25,18
Johnny Gaudreau,CGY,LW,82,36,63,99,24,245,12,12
Brendan Gaunce,BOS,C,3,1,2,3,0,2,4,0
Cameron Gaunce,TB,D,2,0,0,0,7,2,4,1
Frederik Gauthier,TOR,C,70,3,11,14,12,46,98,28
Tim Gettinger,NYR,LW,4,0,0,0,0,2,15,3
Ryan Getzlaf,ANH,C,67,14,34,48,58,133,150,74
Brian Gibbons,CAR,C,64,8,11,19,20,50,40,29
Brandon Gignac,NJ,C,1,0,0,0,0,1,0,1
Dennis Gilbert,CHI,D,1,0,0,0,2,0,6,1
John Gilmour,BUF,D,5,0,0,0,4,9,3,13
Stephen Gionta,FA,C,5,0,0,0,0,4,14,2
Mark Giordano,CGY,D,78,17,57,74,69,221,58,144
Samuel Girard,COL,D,82,4,23,27,6,116,65,90
Dan Girardi,FA,D,62,4,12,16,12,75,151,108
Zemgus Girgensons,BUF,C,72,5,13,18,17,78,144,29
Claude Giroux,PHI,C,82,22,63,85,24,229,28,19
Phil Di Giuseppe,NYR,LW,24,1,3,4,8,31,54,9
Benjamin Gleason,DAL,D,4,0,1,1,0,2,2,1
Luke Glendening,DET,RW,78,10,13,23,15,102,198,102
Nikolay Goldobin,VAN,RW,63,7,20,27,18,105,15,21
Alex Goligoski,ARI,D,76,3,24,27,16,102,79,154
Cody Goloubef,OTT,D,5,0,0,0,2,3,13,5
Barclay Goodrow,SJ,LW,82,7,10,17,76,84,125,68
Shayne Gostisbehere,PHI,D,78,9,28,37,22,180,46,102
Tyrell Goulbourne,VGK,LW,2,0,0,0,0,3,6,0
Yanni Gourde,TB,LW,80,22,26,48,66,130,83,30
Michael Grabner,ARI,RW,41,9,7,16,8,65,28,15
Markus Granlund,EDM,C,77,12,10,22,20,123,46,24
Mikael Granlund,NSH,C,79,16,38,54,24,189,46,40
Derek Grant,ANH,C,56,4,10,14,14,74,92,29
Kevin Gravel,TOR,D,36,0,3,3,4,44,31,53
Ryan Graves,COL,D,26,3,2,5,2,26,32,51
Anthony Greco,FLA,C,1,0,0,0,0,2,0,0
Mike Green,DET,D,43,5,21,26,28,92,60,56
Andy Greene,NJ,D,82,5,20,25,16,104,67,208
Jordan Greenway,MIN,LW,81,12,12,24,29,109,57,40
A.J. Greer,COL,LW,15,1,1,2,14,9,20,5
Rocco Grimaldi,NSH,C,53,5,8,13,10,81,32,20
Carl Grundstrom,LA,LW,15,5,1,6,6,26,38,3
Eric Gryba,FA,D,10,0,0,0,10,11,21,16
Matt Grzelcyk,BOS,D,66,3,15,18,68,90,46,60
Radko Gudas,WAS,D,77,4,16,20,63,136,255,133
Erik Gudbranson,PIT,D,76,2,8,10,87,94,184,84
Jake Guentzel,PIT,LW,82,40,36,76,26,227,105,47
Brendan Guhle,ANH,D,8,0,1,1,4,15,9,7
Carl Gunnarsson,STL,D,25,3,4,7,6,21,11,35
Denis Gurianov,DAL,RW,21,1,3,4,0,23,23,9
Erik Gustafsson,CHI,D,79,17,43,60,34,160,100,115
Calvin de Haan,CHI,D,74,1,13,14,20,102,187,106
Carl Hagelin,WAS,LW,58,5,14,19,30,99,64,20
Robert Hagg,PHI,D,82,5,15,20,63,86,258,158
Ron Hainsey,OTT,D,81,5,18,23,21,81,91,144
Libor Hajek,NYR,D,5,1,0,1,6,10,5,3
